LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.061080148201290305
Amygdala;DICE;STD;0.008579478804790042
Amygdala;HDRFDST;MEAN;77.25955380831817
Amygdala;HDRFDST;STD;1.2293678617852666
GreyMatter;DICE;MEAN;0.35122357736181387
GreyMatter;DICE;STD;0.021368350872369306
GreyMatter;HDRFDST;MEAN;7.599888185868008
GreyMatter;HDRFDST;STD;0.8897750065628283
Hippocampus;DICE;MEAN;0.10512676948632053
Hippocampus;DICE;STD;0.011077088471009746
Hippocampus;HDRFDST;MEAN;33.40401035726565
Hippocampus;HDRFDST;STD;1.2538309502041145
Thalamus;DICE;MEAN;0.1926945326541119
Thalamus;DICE;STD;0.014529907002736429
Thalamus;HDRFDST;MEAN;44.36499996361103
Thalamus;HDRFDST;STD;1.2636369054418217
WhiteMatter;DICE;MEAN;0.662572486224474
WhiteMatter;DICE;STD;0.024169624091672504
WhiteMatter;HDRFDST;MEAN;8.739891646690682
WhiteMatter;HDRFDST;STD;0.4053319677825079
