LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.03063430880325948
Amygdala;DICE;STD;0.03121545853945803
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.17615649214337067
GreyMatter;DICE;STD;0.17679476488531395
GreyMatter;HDRFDST;MEAN;inf
GreyMatter;HDRFDST;STD;nan
Hippocampus;DICE;MEAN;0.05445062123581683
Hippocampus;DICE;STD;0.054974223021282895
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.09673140280156725
Thalamus;DICE;STD;0.09723304302149834
Thalamus;HDRFDST;MEAN;inf
Thalamus;HDRFDST;STD;nan
WhiteMatter;DICE;MEAN;0.48928239830081505
WhiteMatter;DICE;STD;0.16574693334605503
WhiteMatter;HDRFDST;MEAN;10.693714713157066
WhiteMatter;HDRFDST;STD;2.93163190622699
