SUBJECT;LABEL;DICE
117122;Amygdala;0.0
117122;GreyMatter;0.2933098116092531
117122;Hippocampus;0.025357409435036917
117122;Thalamus;0.0
117122;WhiteMatter;0.7085891789798398
117122-PP;Amygdala;0.0
117122-PP;GreyMatter;0.0
117122-PP;Hippocampus;0.0
117122-PP;Thalamus;0.0
117122-PP;WhiteMatter;0.33686121160787136
118528;Amygdala;0.0
118528;GreyMatter;0.28041874699802477
118528;Hippocampus;0.035377595025574166
118528;Thalamus;0.14767663155903873
118528;WhiteMatter;0.47452006721289536
118528-PP;Amygdala;0.0
118528-PP;GreyMatter;0.0
118528-PP;Hippocampus;0.0
118528-PP;Thalamus;0.0
118528-PP;WhiteMatter;0.30391808842887114
118730;Amygdala;0.0
118730;GreyMatter;0.34521880709231983
118730;Hippocampus;0.031789490238689246
118730;Thalamus;0.20240684599040956
118730;WhiteMatter;0.6181843181574215
118730-PP;Amygdala;0.0
118730-PP;GreyMatter;0.0
118730-PP;Hippocampus;0.0
118730-PP;Thalamus;0.0
118730-PP;WhiteMatter;0.2822901133191414
118932;Amygdala;0.0
118932;GreyMatter;0.33635423860782043
118932;Hippocampus;0.026790828924162256
118932;Thalamus;0.1226780800978294
118932;WhiteMatter;0.7460195282867861
118932-PP;Amygdala;0.0
118932-PP;GreyMatter;0.0
118932-PP;Hippocampus;0.0
118932-PP;Thalamus;0.0
118932-PP;WhiteMatter;0.3252434052168787
120111;Amygdala;0.0
120111;GreyMatter;0.3311085876380741
120111;Hippocampus;0.039403312197000676
120111;Thalamus;0.19064544793602067
120111;WhiteMatter;0.6846969201232198
120111-PP;Amygdala;0.0
120111-PP;GreyMatter;0.0
120111-PP;Hippocampus;0.0
120111-PP;Thalamus;0.0
120111-PP;WhiteMatter;0.35511665726100156
122317;Amygdala;0.0
122317;GreyMatter;0.34339268086725894
122317;Hippocampus;0.03333160809481911
122317;Thalamus;0.1711323807695472
122317;WhiteMatter;0.5863137678117814
122317-PP;Amygdala;0.0
122317-PP;GreyMatter;0.0
122317-PP;Hippocampus;0.0
122317-PP;Thalamus;0.0
122317-PP;WhiteMatter;0.3367732663163386
122620;Amygdala;0.0
122620;GreyMatter;0.35430871577599193
122620;Hippocampus;0.03416968761551482
122620;Thalamus;0.20020994546991555
122620;WhiteMatter;0.6943979155034431
122620-PP;Amygdala;0.0
122620-PP;GreyMatter;0.0
122620-PP;Hippocampus;0.0
122620-PP;Thalamus;0.0
122620-PP;WhiteMatter;0.29012016686959163
123117;Amygdala;0.0
123117;GreyMatter;0.2983682360645222
123117;Hippocampus;0.02367034882619323
123117;Thalamus;0.0
123117;WhiteMatter;0.6825896655991393
123117-PP;Amygdala;0.0
123117-PP;GreyMatter;0.0
123117-PP;Hippocampus;0.0
123117-PP;Thalamus;0.0
123117-PP;WhiteMatter;0.3558775764646787
123925;Amygdala;0.0
123925;GreyMatter;0.31185407409267024
123925;Hippocampus;0.0355653068032147
123925;Thalamus;0.23406337832134552
123925;WhiteMatter;0.7357566552510582
123925-PP;Amygdala;0.0
123925-PP;GreyMatter;0.0
123925-PP;Hippocampus;0.0
123925-PP;Thalamus;0.0
123925-PP;WhiteMatter;0.3432544765125474
124422;Amygdala;0.0
124422;GreyMatter;0.28188909583786675
124422;Hippocampus;0.023718376935345113
124422;Thalamus;0.0
124422;WhiteMatter;0.6968921176050122
124422-PP;Amygdala;0.0
124422-PP;GreyMatter;0.0
124422-PP;Hippocampus;0.0
124422-PP;Thalamus;0.0
124422-PP;WhiteMatter;0.30141521971435237
