SUBJECT;LABEL;DICE;HDRFDST;JACRD;PRCISON;SNSVTY
117122;Amygdala;0.44600779793185286;13.038404810405298;0.2870077451729028;0.29928335797975203;0.8749584303292318
117122;GreyMatter;0.7000375969184714;2.23606797749979;0.5385060331429968;0.5464698383797439;0.9736508205876027
117122;Hippocampus;0.5130567437408393;13.0;0.34504123918728624;0.34640707678636345;0.9887018676504497
117122;Thalamus;0.7091462774335818;6.4031242374328485;0.5493622282962385;0.5548325610437411;0.9823693704177819
117122;WhiteMatter;0.8168223019196448;3.3166247903554;0.6903631662808526;0.708200720427322;0.9648003159484652
117122-PP;Amygdala;0.4633342243606879;13.0;0.3015191928563145;0.31645569620253167;0.8646491519787163
117122-PP;GreyMatter;0.6903610750402788;3.0;0.5271384821289664;0.5340124745510954;0.9761628033174747
117122-PP;Hippocampus;0.5318029946788764;13.19090595827292;0.3622150111677694;0.36342494714587736;0.9908923218814849
117122-PP;Thalamus;0.7177374835449488;5.385164807134504;0.5597430123195125;0.5650575020058839;0.98347492144769
117122-PP;WhiteMatter;0.8152656179350409;3.0;0.6881421103978224;0.708353480125964;0.9601871322424989
118528;Amygdala;0.3945197407189157;14.035668847618199;0.2457331620480822;0.2562924681787731;0.8564118963863128
118528;GreyMatter;0.6959529565397838;3.605551275463989;0.5336870015771145;0.5394869903330414;0.980253151360237
118528;Hippocampus;0.4941009311648441;13.45362404707371;0.3281102574470953;0.32904163287374966;0.9914468995010691
118528;Thalamus;0.6811885696937497;6.4031242374328485;0.5165170349907919;0.5191162010526925;0.9903994703156036
118528;WhiteMatter;0.8278404633273589;3.0;0.7062523806932579;0.7332655367231639;0.9504239956648457
118528-PP;Amygdala;0.4067201221840397;14.352700094407323;0.25527223926380366;0.2671548956661316;0.8516149664214903
118528-PP;GreyMatter;0.685008348546963;3.1622776601683795;0.520922203414785;0.5261052192475159;0.9814390420535084
118528-PP;Hippocampus;0.5018811523991136;13.341664064126334;0.3350075684601624;0.33596687942038983;0.9915487221260564
118528-PP;Thalamus;0.6871867467574703;5.744562646538029;0.5234459242852563;0.5259443631039531;0.9910064003531229
118528-PP;WhiteMatter;0.825546632865921;2.8284271247461903;0.7029198910472144;0.7332960745003363;0.9443480844350804
118730;Amygdala;0.4981837854548265;11.40175425099138;0.33172087278715523;0.3334367887440513;0.9847234952642835
118730;GreyMatter;0.7070756342013078;2.23606797749979;0.546880894896368;0.5563620438951015;0.9697807092624746
118730;Hippocampus;0.4426516639244201;11.40175425099138;0.284234203530775;0.2872197541068292;0.9647194910352805
118730;Thalamus;0.6642669251003738;7.54983443527075;0.4973051409618574;0.49861931767570294;0.9947281127828457
118730;WhiteMatter;0.8163477276506852;2.449489742783178;0.6896854310349078;0.7116797232678808;0.9571118758166804
118730-PP;Amygdala;0.5197002658931593;11.40175425099138;0.3510777269758328;0.35292186474064347;0.9853345554537122
118730-PP;GreyMatter;0.6976369548987087;3.1622776601683795;0.535670109438993;0.5438110656946281;0.9728131190150957
118730-PP;Hippocampus;0.44759267149552623;10.816653826391969;0.28832166872512693;0.2907254298266856;0.9721226142278774
118730-PP;Thalamus;0.6741040972751715;6.4031242374328485;0.5084140435835351;0.5097099162519724;0.9950242862220116
118730-PP;WhiteMatter;0.8153339991774866;2.23606797749979;0.6882395532676724;0.7144335363373814;0.9494222520198945
118932;Amygdala;0.4666561314791403;12.36931687685298;0.30433886426878287;0.3065822259136213;0.9765211640211641
118932;GreyMatter;0.7113181267531727;2.23606797749979;0.5519734090470368;0.5586738509914063;0.978733721375917
118932;Hippocampus;0.46628971459343027;12.083045973594572;0.30402724623433164;0.30559378860067055;0.9834185122089721
118932;Thalamus;0.6964928909952607;6.708203932499369;0.5343222803955788;0.540453074433657;0.9792110874200426
118932;WhiteMatter;0.8335760546217466;3.0;0.7146424401905009;0.7438601172440731;0.9479010909329258
118932-PP;Amygdala;0.4923613417469279;12.449899597988733;0.32657781694019167;0.3287139689578714;0.980489417989418
118932-PP;GreyMatter;0.7024459357259786;3.3166247903554;0.5413615933752984;0.5470709279785277;0.9810869352063964
118932-PP;Hippocampus;0.4758484566039805;12.206555615733702;0.31220547501708695;0.3136270010479529;0.9856899488926746
118932-PP;Thalamus;0.7026696244167367;5.744562646538029;0.5416273584905661;0.5478945484909937;0.979317697228145
118932-PP;WhiteMatter;0.8304529621765913;2.23606797749979;0.7100637557272683;0.7434212443537811;0.940564024202898
120111;Amygdala;0.4558769411937882;9.433981132056603;0.2952335557673975;0.31508800488350797;0.8241085683874402
120111;GreyMatter;0.6922106687340249;2.23606797749979;0.5292982991870308;0.5354175598280733;0.9788637427876065
120111;Hippocampus;0.459549000748103;11.045361017187261;0.29832107673095604;0.2991720587212134;0.9905551716194425
120111;Thalamus;0.6544076466415263;11.916375287812984;0.4863342490080191;0.4905950848121816;0.9824551569506726
120111;WhiteMatter;0.8503883216182794;2.23606797749979;0.7397178870132475;0.7700938567862724;0.9493757605464012
120111-PP;Amygdala;0.47376059888473;9.695359714832659;0.3104104104104104;0.332261866495232;0.8251729643427355
120111-PP;GreyMatter;0.6827690292849814;3.0;0.5183366049420787;0.523980848859058;0.9796415056041127
120111-PP;Hippocampus;0.46297091338413654;11.045361017187261;0.3012115498760518;0.3017910865458616;0.993665054134992
120111-PP;Thalamus;0.6644825300634409;8.06225774829855;0.497546864808145;0.5017589017589018;0.9834080717488789
120111-PP;WhiteMatter;0.8473238094833049;2.0;0.7350926621495375;0.7695359695446217;0.9426063061716152
