LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.49569496155327714
Amygdala;DICE;STD;0.054542205321061826
Amygdala;HDRFDST;MEAN;12.036284694993315
Amygdala;HDRFDST;STD;1.2758725410752283
Amygdala;JACRD;MEAN;0.3312639704721977
Amygdala;JACRD;STD;0.04820403896588695
Amygdala;PRCISON;MEAN;0.3393449123138707
Amygdala;PRCISON;STD;0.04531378926641974
Amygdala;SNSVTY;MEAN;0.9258106260972285
Amygdala;SNSVTY;STD;0.05687190860134636
GreyMatter;DICE;MEAN;0.6923912731960635
GreyMatter;DICE;STD;0.010782070680601073
GreyMatter;HDRFDST;MEAN;2.9771393778352047
GreyMatter;HDRFDST;STD;0.36965000330449266
GreyMatter;JACRD;MEAN;0.5296135861545191
GreyMatter;JACRD;STD;0.012620782358053867
GreyMatter;PRCISON;MEAN;0.5377800089819735
GreyMatter;PRCISON;STD;0.012749621389722434
GreyMatter;SNSVTY;MEAN;0.9721623733460708
GreyMatter;SNSVTY;STD;0.007662286092786608
Hippocampus;DICE;MEAN;0.4795294505822552
Hippocampus;DICE;STD;0.022452360936921222
Hippocampus;HDRFDST;MEAN;11.669892387826968
Hippocampus;HDRFDST;STD;0.9020042441907894
Hippocampus;JACRD;MEAN;0.31566892039317007
Hippocampus;JACRD;STD;0.01941401247027503
Hippocampus;PRCISON;MEAN;0.3180384612011458
Hippocampus;PRCISON;STD;0.020175370565260503
Hippocampus;SNSVTY;MEAN;0.9778458223112041
Hippocampus;SNSVTY;STD;0.01666109340527552
Thalamus;DICE;MEAN;0.7014689261043204
Thalamus;DICE;STD;0.027172698285666378
Thalamus;HDRFDST;MEAN;6.439511902294507
Thalamus;HDRFDST;STD;1.4431515721529016
Thalamus;JACRD;MEAN;0.5408817958092587
Thalamus;JACRD;STD;0.03250083092335997
Thalamus;PRCISON;MEAN;0.545109246436384
Thalamus;PRCISON;STD;0.03451505380446919
Thalamus;SNSVTY;MEAN;0.9865258794449605
Thalamus;SNSVTY;STD;0.006925273374567231
WhiteMatter;DICE;MEAN;0.8243181323816682
WhiteMatter;DICE;STD;0.01917733287339494
WhiteMatter;HDRFDST;MEAN;2.7304000621800015
WhiteMatter;HDRFDST;STD;0.3806776857755736
WhiteMatter;JACRD;MEAN;0.7015912393520656
WhiteMatter;JACRD;STD;0.027638599219395574
WhiteMatter;PRCISON;MEAN;0.723792199608052
WhiteMatter;PRCISON;STD;0.0334547802802294
WhiteMatter;SNSVTY;MEAN;0.9588978492731852
WhiteMatter;SNSVTY;STD;0.009417044119925723
