LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.030492671493557572
Amygdala;DICE;STD;0.031058264956805894
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.17487043533646235
GreyMatter;DICE;STD;0.17556931946911497
GreyMatter;HDRFDST;MEAN;inf
GreyMatter;HDRFDST;STD;nan
Hippocampus;DICE;MEAN;0.05343463920325695
Hippocampus;DICE;STD;0.05399738665509239
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.09449169224057988
Thalamus;DICE;STD;0.09498499757474818
Thalamus;HDRFDST;MEAN;inf
Thalamus;HDRFDST;STD;nan
WhiteMatter;DICE;MEAN;0.49140713184320867
WhiteMatter;DICE;STD;0.16829452682877422
WhiteMatter;HDRFDST;MEAN;11.109733693498423
WhiteMatter;HDRFDST;STD;2.77016556536715
