LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.061614393655359756
Amygdala;DICE;STD;0.008720010700659699
Amygdala;HDRFDST;MEAN;77.280494778196
Amygdala;HDRFDST;STD;1.2349602573451928
GreyMatter;DICE;MEAN;0.356153091466079
GreyMatter;DICE;STD;0.02430302865840352
GreyMatter;HDRFDST;MEAN;7.840282253088314
GreyMatter;HDRFDST;STD;0.9380693961048051
Hippocampus;DICE;MEAN;0.10086713470667519
Hippocampus;DICE;STD;0.009618942506884517
Hippocampus;HDRFDST;MEAN;34.62606746160921
Hippocampus;HDRFDST;STD;2.59527496502546
Thalamus;DICE;MEAN;0.19353983180248183
Thalamus;DICE;STD;0.01452234848738059
Thalamus;HDRFDST;MEAN;44.465510607461546
Thalamus;HDRFDST;STD;1.2916525917308295
WhiteMatter;DICE;MEAN;0.637428912302547
WhiteMatter;DICE;STD;0.02442487990174914
WhiteMatter;HDRFDST;MEAN;8.676063575378056
WhiteMatter;HDRFDST;STD;0.419429178763418
