SUBJECT;LABEL;DICE;HDRFDST;JACRD;PRCISON;SNSVTY
117122;Amygdala;0.2828358911590246;14.52583904633395;0.1647110428775085;0.17685152478511715;0.7058270676691729
117122;GreyMatter;0.7000614701511688;2.23606797749979;0.5385342876424921;0.5426465486002421;0.9861234486256554
117122;Hippocampus;0.373536299765808;13.74772708486752;0.22966162706983442;0.23123879287322116;0.9711584681941996
117122;Thalamus;0.6458375096652252;10.04987562112089;0.4769276318572093;0.49330650100621226;0.9349141862200481
117122;WhiteMatter;0.8392879862434598;4.123105625617661;0.7230802957980762;0.749237149809024;0.9539423466832049
117122-PP;Amygdala;0.2927448491358266;14.866068747318506;0.17147105925417525;0.1847651916676938;0.7044172932330827
117122-PP;GreyMatter;0.6853943273399383;3.0;0.5213687583996692;0.5243400522522068;0.9892479144540872
117122-PP;Hippocampus;0.3834943816688175;13.601470508735444;0.2372366525176214;0.23862122992557774;0.9761256208940875
117122-PP;Thalamus;0.6592846471570437;9.273618495495704;0.49174095437860516;0.5097390831672405;0.9330072133322278
117122-PP;WhiteMatter;0.8351367393801747;3.0;0.716939719547681;0.7501751552647516;0.9418010400019082
118528;Amygdala;0.43999022243950137;12.409673645990857;0.2820432466311501;0.3013056578506863;0.8152173913043478
118528;GreyMatter;0.6928659446067221;2.0;0.5300649476218101;0.5760986348030113;0.8690004427414991
118528;Hippocampus;0.39854429799076424;12.449899597988733;0.2488637665660925;0.25020158967860845;0.9789663461538461
118528;Thalamus;0.6427620762545996;6.708203932499369;0.4735809875403784;0.47511574074074076;0.993225260101621
118528;WhiteMatter;0.732066137072756;4.898979485566356;0.5773693395826303;0.5837772145246319;0.9813433293660044
118528-PP;Amygdala;0.4796106287818995;13.341664064126334;0.3154525004326008;0.3379681127178346;0.8256340579710145
118528-PP;GreyMatter;0.6975631403268441;2.23606797749979;0.5355830765584262;0.5738527741525872;0.8892708976720543
118528-PP;Hippocampus;0.411391415799181;11.916375287812984;0.25896335943956866;0.2597402597402597;0.9885817307692307
118528-PP;Thalamus;0.650083181494098;6.164414002968976;0.48157276995305165;0.4832744405182568;0.9927413501088798
118528-PP;WhiteMatter;0.7288444299150372;3.4641016151377544;0.5733715424511902;0.5796723057996039;0.9813954772451196
118730;Amygdala;0.39799880525686976;12.083045973594572;0.24843851962338026;0.24960194811276576;0.9815837937384899
118730;GreyMatter;0.682250240402661;3.4641016151377544;0.5177388464188636;0.5212661239838353;0.9870988029774539
118730;Hippocampus;0.331572088615093;12.806248474865697;0.1987332424448989;0.20116727042723248;0.9426108042570389
118730;Thalamus;0.6650146754559014;6.708203932499369;0.49814380969544064;0.504950495049505;0.9736526946107784
118730;WhiteMatter;0.8470959335510545;3.0;0.7347497143974787;0.8070972546051588;0.891265899912109
118730-PP;Amygdala;0.4103628536285363;11.661903789690601;0.258148757133185;0.2593024385504712;0.9830570902394107
118730-PP;GreyMatter;0.6672327078717666;3.7416573867739413;0.5006370668102861;0.5035766117940184;0.9884745720634054
118730-PP;Hippocampus;0.32882882882882886;12.083045973594572;0.1967654986522911;0.19908525325985058;0.9440926848982891
118730-PP;Thalamus;0.6723512071527761;6.0;0.5064224897240165;0.5138909578429912;0.9721028531172948
118730-PP;WhiteMatter;0.8366833090839463;3.0;0.7192223025916529;0.8093890419175258;0.8658826574354163
118932;Amygdala;0.39172000997589157;13.30413469565007;0.24356456114959166;0.24771317421932498;0.9356632247815727
118932;GreyMatter;0.7094768595156502;3.1622776601683795;0.5497591149348741;0.5553581104095479;0.9819917138735819
118932;Hippocampus;0.3605515403147265;12.68857754044952;0.21992246123061532;0.22062605859105452;0.9857062780269058
118932;Thalamus;0.6785550353437988;9.0;0.5134947375733787;0.5235144132020682;0.9640667797052302
118932;WhiteMatter;0.8352931366996688;3.7416573867739413;0.7171702709235948;0.7459086777418918;0.9490166261900016
118932-PP;Amygdala;0.41100407879892387;13.74772708486752;0.25865647187329327;0.262965019433648;0.9404289118347895
118932-PP;GreyMatter;0.7005678857381944;3.4641016151377544;0.5391338862947681;0.5430160785506898;0.9869128070592824
118932-PP;Hippocampus;0.36692640244375985;12.041594578792296;0.22468454758734385;0.2250341345695869;0.9931334080717489
118932-PP;Thalamus;0.6883222726743509;8.12403840463596;0.5247647789810048;0.5352939046032379;0.9638711360375636
118932-PP;WhiteMatter;0.832687474559421;3.0;0.7133372223904987;0.7481546993395353;0.9387559761519856
120111;Amygdala;0.4758235407435947;10.246950765959598;0.3121840242669363;0.3262017960908611;0.8790035587188612
120111;GreyMatter;0.7121343643437985;2.0;0.5529570357554786;0.5641132371305063;0.9654699331400032
120111;Hippocampus;0.4231404958677686;11.661903789690601;0.26834381551362685;0.27023581899298915;0.9745726188765982
120111;Thalamus;0.6907982756057678;6.557438524302;0.5276484614511184;0.5331778024247523;0.9807245867041857
120111;WhiteMatter;0.8206248682497674;3.1622776601683795;0.6958132710768052;0.709838156603017;0.9723886798796296
120111-PP;Amygdala;0.5024469820554649;10.246950765959598;0.3355119825708061;0.35210060017147754;0.8768683274021353
120111-PP;GreyMatter;0.7055235358526228;2.8284271247461903;0.5450261595272221;0.5538522249486992;0.971592053326889
120111-PP;Hippocampus;0.4352480168211794;11.180339887498949;0.2781578304422184;0.27963812018994594;0.9813245223387445
120111-PP;Thalamus;0.7002768688648376;5.385164807134504;0.5387892637205159;0.5452087007642563;0.9786141399929652
120111-PP;WhiteMatter;0.819249040059803;2.23606797749979;0.6938372847914488;0.7095115770352113;0.9691426569088675
