LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.030725478822541664
Amygdala;DICE;STD;0.03149139567440344
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.17801820967660834
GreyMatter;DICE;STD;0.17866961867392164
GreyMatter;HDRFDST;MEAN;inf
GreyMatter;HDRFDST;STD;nan
Hippocampus;DICE;MEAN;0.051580124043006104
Hippocampus;DICE;STD;0.05205590802192321
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.0967256236658543
Thalamus;DICE;STD;0.09723410976053054
Thalamus;HDRFDST;MEAN;inf
Thalamus;HDRFDST;STD;nan
WhiteMatter;DICE;MEAN;0.49494837173056183
WhiteMatter;DICE;STD;0.16760499663234765
WhiteMatter;HDRFDST;MEAN;10.818143757016816
WhiteMatter;HDRFDST;STD;2.9270745895036754
