LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.030415886667844134
Amygdala;DICE;STD;0.030980303746769997
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.17591961799821704
GreyMatter;DICE;STD;0.17657986281178842
GreyMatter;HDRFDST;MEAN;inf
GreyMatter;HDRFDST;STD;nan
Hippocampus;DICE;MEAN;0.05264879069174837
Hippocampus;DICE;STD;0.05317978681225775
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.09386798370603114
Thalamus;DICE;STD;0.09438384285604226
Thalamus;HDRFDST;MEAN;inf
Thalamus;HDRFDST;STD;nan
WhiteMatter;DICE;MEAN;0.49386366783543156
WhiteMatter;DICE;STD;0.1691991740079915
WhiteMatter;HDRFDST;MEAN;10.890529604779301
WhiteMatter;HDRFDST;STD;2.974283935239808
