LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.06129731503801752
Amygdala;DICE;STD;0.009718610233233952
Amygdala;HDRFDST;MEAN;77.1970013974023
Amygdala;HDRFDST;STD;1.2739604583614956
GreyMatter;DICE;MEAN;0.34448610508076144
GreyMatter;DICE;STD;0.0224972516992767
GreyMatter;HDRFDST;MEAN;8.17330976709373
GreyMatter;HDRFDST;STD;0.7726625726215889
Hippocampus;DICE;MEAN;0.09729631850944019
Hippocampus;DICE;STD;0.009060821572216498
Hippocampus;HDRFDST;MEAN;33.86248634466599
Hippocampus;HDRFDST;STD;1.1755928535463687
Thalamus;DICE;MEAN;0.19951547642318243
Thalamus;DICE;STD;0.014704451996907524
Thalamus;HDRFDST;MEAN;44.148081470529426
Thalamus;HDRFDST;STD;1.3026520915025523
WhiteMatter;DICE;MEAN;0.664889092630885
WhiteMatter;DICE;STD;0.02538494158099233
WhiteMatter;HDRFDST;MEAN;7.911739152774591
WhiteMatter;HDRFDST;STD;0.39291675766451434
