LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.031330251269252804
Amygdala;DICE;STD;0.032151854617566394
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.1756208298656273
GreyMatter;DICE;STD;0.17629352345145283
GreyMatter;HDRFDST;MEAN;inf
GreyMatter;HDRFDST;STD;nan
Hippocampus;DICE;MEAN;0.053054035198346214
Hippocampus;DICE;STD;0.05363433815162799
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.09506989963507544
Thalamus;DICE;STD;0.09556866699494992
Thalamus;HDRFDST;MEAN;inf
Thalamus;HDRFDST;STD;nan
WhiteMatter;DICE;MEAN;0.48989736409193896
WhiteMatter;DICE;STD;0.16618257165126707
WhiteMatter;HDRFDST;MEAN;11.053346949758398
WhiteMatter;HDRFDST;STD;2.7791223809445245
