LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.030513019586809093
Amygdala;DICE;STD;0.031086773862856572
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.17533999383732599
GreyMatter;DICE;STD;0.17600660832275844
GreyMatter;HDRFDST;MEAN;inf
GreyMatter;HDRFDST;STD;nan
Hippocampus;DICE;MEAN;0.05184993270121015
Hippocampus;DICE;STD;0.05235234286501316
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.09675967124736615
Thalamus;DICE;STD;0.09726347949525851
Thalamus;HDRFDST;MEAN;inf
Thalamus;HDRFDST;STD;nan
WhiteMatter;DICE;MEAN;0.49174745138122394
WhiteMatter;DICE;STD;0.16830445535995167
WhiteMatter;HDRFDST;MEAN;10.930447525131347
WhiteMatter;HDRFDST;STD;3.0125266638405073
