LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.061592921055506525
Amygdala;DICE;STD;0.009995433178743702
Amygdala;HDRFDST;MEAN;77.09273590603298
Amygdala;HDRFDST;STD;1.2688855435589268
GreyMatter;DICE;MEAN;0.3485306075928312
GreyMatter;DICE;STD;0.021458171414600966
GreyMatter;HDRFDST;MEAN;8.028611773519966
GreyMatter;HDRFDST;STD;0.8610418050806943
Hippocampus;DICE;MEAN;0.10352826174646765
Hippocampus;DICE;STD;0.01052338492247609
Hippocampus;HDRFDST;MEAN;33.53819056787978
Hippocampus;HDRFDST;STD;1.3927574923797859
Thalamus;DICE;MEAN;0.1930842707046799
Thalamus;DICE;STD;0.014658113358449762
Thalamus;HDRFDST;MEAN;44.35603267819876
Thalamus;HDRFDST;STD;1.2815479119268014
WhiteMatter;DICE;MEAN;0.6661498447675591
WhiteMatter;DICE;STD;0.023763129826588146
WhiteMatter;HDRFDST;MEAN;8.571869335828419
WhiteMatter;HDRFDST;STD;0.4160001075534465
