SUBJECT;LABEL;DICE;HDRFDST;JACRD;PRCISON;SNSVTY
117122;Amygdala;0.3135975915704967;13.0;0.1859565605474561;0.19324418335008117;0.8313934153641503
117122;GreyMatter;0.5288745346782681;6.0;0.35950335110445825;0.3705885847588193;0.9231862123128592
117122;Hippocampus;0.33217027215631545;13.038404810405298;0.199163179916318;0.19965512420189216;0.987779571132119
117122;Thalamus;0.6607419614305613;6.4031242374328485;0.49336419300969736;0.49841655074436914;0.979867333876411
117122;WhiteMatter;0.7534619956344146;6.4031242374328485;0.6044436615615923;0.6401678741619513;0.9154795841412356
117122-PP;Amygdala;0.3175632710161516;13.416407864998739;0.18875198427696727;0.19632046544539666;0.8303957432657133
117122-PP;GreyMatter;0.5255792314338618;6.0;0.3564648861701692;0.36415616522604866;0.9440634921887795
117122-PP;Hippocampus;0.331012791745776;13.152946437965905;0.19833153310504906;0.19853228737721135;0.9949273691491815
117122-PP;Thalamus;0.6645364891518738;7.54983443527075;0.497607372836297;0.5026556066121621;0.9802164552542767
117122-PP;WhiteMatter;0.7642749172950515;6.164414002968976;0.618482968414048;0.6489805677839177;0.9293842576156395
118528;Amygdala;0.32149842925730543;13.601470508735444;0.19153895049085387;0.19732246798603026;0.8672849376399104
118528;GreyMatter;0.6419693364223175;4.47213595499958;0.4727207961056435;0.48977100521973393;0.9314082312356534
118528;Hippocampus;0.35523776262338475;13.92838827718412;0.21598122485471613;0.2167466690592616;0.983912025252011
118528;Thalamus;0.682675164068131;6.0;0.5182284167482578;0.5201456731602982;0.9929375413815935
118528;WhiteMatter;0.7724324696973178;3.7416573867739413;0.629238270506274;0.6686999303711751;0.9142572596050239
118528-PP;Amygdala;0.32413958508214413;13.92838827718412;0.19341681574239714;0.19946867389860526;0.864406779661017
118528-PP;GreyMatter;0.6476742232885091;3.1622776601683795;0.47893357831534245;0.49101582322277065;0.9511327397053704
118528-PP;Hippocampus;0.3495328116245866;13.892443989449804;0.21177810385230283;0.21248077345638322;0.9846247836269219
118528-PP;Thalamus;0.6859886811867604;5.830951894845301;0.5220569042025581;0.5239412021539805;0.9931582432134187
118528-PP;WhiteMatter;0.7846232441148245;3.0;0.6455802616887903;0.6809870354604252;0.9254654746387198
118730;Amygdala;0.38058114812189936;11.180339887498949;0.2350109409190372;0.23588842521414452;0.9844179651695693
118730;GreyMatter;0.6478792382889483;4.898979485566356;0.47915782128001977;0.49418573161002954;0.9403230145227274
118730;Hippocampus;0.29556808449900085;13.038404810405298;0.17341149377159007;0.17473577621669514;0.958126084441874
118730;Thalamus;0.6566988923245528;6.4031242374328485;0.4888694638694639;0.49035538929155953;0.9938395924653477
118730;WhiteMatter;0.7654958135781297;3.605551275463989;0.6200836108922962;0.6863728705631644;0.8652377466574537
118730-PP;Amygdala;0.38776736361451575;11.224972160321824;0.24051576358351345;0.24134320544461896;0.9859456156431409
118730-PP;GreyMatter;0.649601389582515;3.3166247903554;0.4810441780458337;0.4914895200119766;0.9576894994078416
118730-PP;Hippocampus;0.2909324937816354;12.806248474865697;0.17022879009933237;0.17121156287106415;0.96737998843262
118730-PP;Thalamus;0.6602255062083079;6.164414002968976;0.49278853215051555;0.4943277249020243;0.9937211230896813
118730-PP;WhiteMatter;0.7807079241836036;3.0;0.6402960698820814;0.7034248905373819;0.8770686387860793
118932;Amygdala;0.36365864118115543;12.041594578792296;0.22223886184949457;0.22317467478757802;0.9814814814814815
118932;GreyMatter;0.6614099831144322;5.477225575051661;0.49410945455375693;0.5144383575483069;0.9259468565876616
118932;Hippocampus;0.32719417917235105;12.727922061357855;0.19559603099089304;0.19635668963635122;0.9805792163543441
118932;Thalamus;0.6943240532202812;5.830951894845301;0.5317736417927755;0.5382809519617338;0.977771855010661
118932;WhiteMatter;0.777539011472894;4.0;0.6360440282104375;0.6730129871685816;0.9205028205306777
118932-PP;Amygdala;0.3694559890825631;12.24744871391589;0.2265844936468082;0.22738031610292433;0.9847883597883598
118932-PP;GreyMatter;0.6710042261567701;3.7416573867739413;0.5048956809067495;0.5191242488313528;0.9485091855562587
118932-PP;Hippocampus;0.3232789939450396;12.727922061357855;0.19280428453965642;0.1933585914865166;0.9853492333901193
118932-PP;Thalamus;0.6966864265085879;5.656854249492381;0.534550119540498;0.5412730278696268;0.9772921108742004
118932-PP;WhiteMatter;0.7908087174372141;3.4641016151377544;0.6539980306185779;0.685358171224636;0.9346095705501366
120111;Amygdala;0.3714252363721256;9.643650760992955;0.2280676605504587;0.23788875598086123;0.8467269824374667
120111;GreyMatter;0.6370171613689934;4.242640687119285;0.467369906145568;0.4796548575565493;0.948046649691206
120111;Hippocampus;0.33527787500486134;11.789826122551595;0.2014017054082467;0.20168912595919894;0.9929739691315365
120111;Thalamus;0.6621065994656763;7.0710678118654755;0.4948874097153378;0.5001001803245843;0.979372197309417
120111;WhiteMatter;0.8003323591085458;3.4641016151377544;0.6671284044252719;0.729825885228931;0.8859185129531816
120111-PP;Amygdala;0.3770414201183432;10.04987562112089;0.23231733994458217;0.24242885405569928;0.8477913783927621
120111-PP;GreyMatter;0.6419312606230969;3.0;0.4726795058382847;0.48099512916578574;0.9647152925855288
120111-PP;Hippocampus;0.33084548551307075;11.445523142259598;0.19821141939922035;0.19838428348480674;0.995623128311449
120111-PP;Thalamus;0.6654728339556504;6.324555320336759;0.4986581396676754;0.5040401708415099;0.9790358744394618
120111-PP;WhiteMatter;0.8144247990657886;3.0;0.6869448672880784;0.7436077424680406;0.9001500748481746
